t_s,label,pid,pcpu,rss_kb
0.0,A314,20083,3.6,52400
0.0,B315,20088,4.8,53104
1.0,A314,20083,21.1,53216
1.0,B315,20088,23.1,53936
2.0,A314,20083,23.4,53840
2.0,B315,20088,22.5,54336
3.0,A314,20083,28.7,54112
3.0,B315,20088,29.8,54528
4.0,A314,20083,29.0,54288
4.0,B315,20088,30.7,54672
5.0,A314,20083,23.0,54528
5.0,B315,20088,22.3,54688
6.0,A314,20083,23.0,55024
6.0,B315,20088,22.9,54736
7.0,A314,20083,23.7,55088
7.0,B315,20088,22.9,54752
8.0,A314,20083,33.4,55312
8.0,B315,20088,32.7,54896
9.0,A314,20083,33.7,55344
9.0,B315,20088,31.6,54944
10.0,A314,20083,27.9,55456
10.0,B315,20088,30.4,54976
11.0,A314,20083,21.7,55472
11.0,B315,20088,23.7,54976
12.0,A314,20083,20.8,55488
12.0,B315,20088,23.4,54976
13.0,A314,20083,21.6,55504
13.0,B315,20088,24.6,55024
14.0,A314,20083,19.8,57264
14.0,B315,20088,23.1,56784
15.0,A314,20083,20.2,57776
15.0,B315,20088,22.6,56816
16.0,A314,20083,20.2,58032
16.0,B315,20088,22.9,56816
18.0,A314,20083,21.5,58032
18.0,B315,20088,24.1,56832
19.0,A314,20083,21.9,58048
19.0,B315,20088,24.5,56832
20.0,A314,20083,20.5,58080
20.0,B315,20088,23.8,56832
21.0,A314,20083,20.4,58240
21.0,B315,20088,23.0,56864
22.0,A314,20083,20.8,58288
22.0,B315,20088,23.2,56864
23.0,A314,20083,21.5,58288
23.0,B315,20088,24.7,56880
24.0,A314,20083,20.9,58448
24.0,B315,20088,23.4,56896
25.0,A314,20083,20.1,58464
25.0,B315,20088,22.9,56960
26.0,A314,20083,19.4,58480
26.0,B315,20088,22.5,57024
27.0,A314,20083,20.4,58512
27.0,B315,20088,23.7,57024
28.0,A314,20083,19.7,58528
28.0,B315,20088,23.1,57040
29.0,A314,20083,20.1,59728
29.0,B315,20088,22.3,58480
30.0,A314,20083,19.4,60000
30.0,B315,20088,22.2,58704
31.0,A314,20083,19.4,60000
31.0,B315,20088,21.6,58832
32.0,A314,20083,20.6,60000
32.0,B315,20088,22.9,58960
33.0,A314,20083,24.7,60032
33.0,B315,20088,25.4,59248
34.0,A314,20083,25.1,60032
34.0,B315,20088,26.5,59264
35.0,A314,20083,28.6,60032
35.0,B315,20088,27.8,59296
36.0,A314,20083,28.2,60032
36.0,B315,20088,30.7,59312
37.0,A314,20083,24.2,60032
37.0,B315,20088,26.3,59328
38.0,A314,20083,27.6,60032
38.0,B315,20088,30.3,59408
39.0,A314,20083,27.9,60032
39.0,B315,20088,29.7,59440
40.0,A314,20083,22.0,60400
40.0,B315,20088,25.6,59440
41.0,A314,20083,22.7,60416
41.0,B315,20088,23.0,59552
42.0,A314,20083,21.0,60416
