t_s,label,pid,pcpu,rss_kb
42.0,B315,20088,20.8,59552
43.0,A314,20083,21.3,60416
43.0,B315,20088,21.2,59552
44.0,A314,20083,21.4,61104
44.0,B315,20088,21.7,60144
45.0,A314,20083,21.7,61104
45.0,B315,20088,21.9,60160
46.0,A314,20083,21.2,61104
46.0,B315,20088,20.3,60160
47.0,A314,20083,22.5,61120
47.0,B315,20088,21.0,60176
48.0,A314,20083,22.6,61120
48.0,B315,20088,21.6,60176
49.0,A314,20083,21.1,61120
49.0,B315,20088,20.7,60176
51.0,A314,20083,19.2,61120
51.0,B315,20088,19.8,60176
52.0,A314,20083,20.8,61120
52.0,B315,20088,19.9,60192
53.0,A314,20083,20.8,61120
53.0,B315,20088,20.3,60192
54.0,A314,20083,20.3,61120
54.0,B315,20088,20.0,60192
55.0,A314,20083,20.7,61136
55.0,B315,20088,20.2,60208
56.0,A314,20083,21.9,61136
56.0,B315,20088,21.1,60208
57.0,A314,20083,23.9,61136
57.0,B315,20088,22.4,60208
58.0,A314,20083,26.7,61136
58.0,B315,20088,26.0,60208
59.0,A314,20083,35.0,62400
59.0,B315,20088,35.8,62128
60.0,A314,20083,22.0,62400
60.0,B315,20088,21.9,62144
61.0,A314,20083,23.5,62400
61.0,B315,20088,23.2,62144
62.0,A314,20083,23.5,62400
62.0,B315,20088,24.6,62144
63.0,A314,20083,23.7,62400
63.0,B315,20088,23.6,62144
64.0,A314,20083,23.7,62400
64.0,B315,20088,25.2,62160
65.0,A314,20083,21.6,62400
65.0,B315,20088,21.7,62176
66.0,A314,20083,22.4,62400
66.0,B315,20088,22.7,62176
67.0,A314,20083,23.1,62400
67.0,B315,20088,24.7,62176
68.0,A314,20083,21.9,62400
68.0,B315,20088,22.9,62176
69.0,A314,20083,23.2,62400
69.0,B315,20088,23.5,62160
70.0,A314,20083,23.7,62400
70.0,B315,20088,25.3,62160
71.0,A314,20083,23.7,62400
71.0,B315,20088,24.2,62176
72.0,A314,20083,24.2,62400
72.0,B315,20088,25.1,62192
73.0,A314,20083,22.3,62400
73.0,B315,20088,23.1,62192
74.0,A314,20083,25.4,62864
74.0,B315,20088,26.7,62240
75.0,A314,20083,20.4,63136
75.0,B315,20088,22.7,62240
76.0,A314,20083,24.7,63264
76.0,B315,20088,25.1,62240
77.0,A314,20083,26.4,63392
77.0,B315,20088,29.3,62240
78.0,A314,20083,27.7,63520
78.0,B315,20088,31.7,62240
79.0,A314,20083,17.0,63632
79.0,B315,20088,18.4,62240
81.0,A314,20083,22.4,63632
81.0,B315,20088,25.3,62240
82.0,A314,20083,22.3,63648
82.0,B315,20088,23.7,62240
83.0,A314,20083,21.2,63648
83.0,B315,20088,22.8,62240
84.0,A314,20083,21.4,63648
84.0,B315,20088,24.4,62240
85.0,A314,20083,21.9,63648
85.0,B315,20088,25.1,62256
86.0,A314,20083,22.2,63664
86.0,B315,20088,25.4,62256
87.0,A314,20083,22.9,63664
87.0,B315,20088,26.4,62256
88.0,A314,20083,22.6,63664
88.0,B315,20088,24.7,62256
89.0,A314,20083,22.8,64016
89.0,B315,20088,24.5,63040
90.0,A314,20083,20.8,64016
90.0,B315,20088,22.9,63248
