t_s,label,pid,pcpu,rss_kb
31.0,B315,92355,69.4,59248
32.0,A314,92350,11.4,54464
32.0,B315,92355,27.9,59344
33.0,A314,92350,63.3,54640
33.0,B315,92355,70.0,59344
34.0,A314,92350,49.7,54656
34.0,B315,92355,54.7,59344
35.0,A314,92350,42.6,54768
35.0,B315,92355,0.0,59344
36.0,A314,92350,57.7,54784
36.0,B315,92355,0.0,59344
37.0,A314,92350,77.1,54784
37.0,B315,92355,21.7,59344
38.0,A314,92350,45.2,54784
38.0,B315,92355,49.5,59344
39.0,A314,92350,80.9,54800
39.0,B315,92355,81.0,59344
40.0,A314,92350,31.5,54800
40.0,B315,92355,29.3,59344
41.0,A314,92350,42.8,54800
41.0,B315,92355,39.4,59344
42.0,A314,92350,10.9,55936
42.0,B315,92355,11.0,61760
43.0,A314,92350,66.1,55952
43.0,B315,92355,65.7,61760
44.0,A314,92350,34.9,55936
44.0,B315,92355,40.7,61760
46.0,A314,92350,0.0,55952
46.0,B315,92355,0.0,61760
47.0,A314,92350,57.6,55952
47.0,B315,92355,0.0,62784
48.0,A314,92350,76.0,56000
48.0,B315,92355,85.5,62816
49.0,A314,92350,39.7,56048
49.0,B315,92355,48.8,63808
50.0,A314,92350,73.8,56048
50.0,B315,92355,0.3,65136
51.0,A314,92350,0.5,56096
51.0,B315,92355,28.8,65136
52.0,A314,92350,69.1,56080
52.0,B315,92355,38.7,65136
53.0,A314,92350,16.7,56128
53.0,B315,92355,32.3,65136
54.0,A314,92350,44.5,56160
54.0,B315,92355,61.3,65136
55.0,A314,92350,18.3,56144
55.0,B315,92355,28.2,65136
56.0,A314,92350,71.6,56144
56.0,B315,92355,77.7,65136
57.0,A314,92350,18.2,56160
57.0,B315,92355,0.0,65136
58.0,A314,92350,76.9,56144
58.0,B315,92355,23.8,65136
59.0,A314,92350,51.7,56144
59.0,B315,92355,54.8,65136
60.0,A314,92350,0.4,56160
60.0,B315,92355,0.6,65152
61.0,A314,92350,36.1,56160
61.0,B315,92355,40.2,65152
62.0,A314,92350,46.3,56160
62.0,B315,92355,49.6,65152
63.0,A314,92350,21.2,56144
63.0,B315,92355,47.3,65152
64.0,A314,92350,72.2,56192
64.0,B315,92355,70.9,65152
65.0,A314,92350,47.0,56176
65.0,B315,92355,40.8,65152
66.0,A314,92350,0.0,56208
66.0,B315,92355,36.6,65152
67.0,A314,92350,0.0,56192
67.0,B315,92355,0.0,65152
68.0,A314,92350,37.0,56192
68.0,B315,92355,29.1,65152
69.0,A314,92350,46.8,56192
69.0,B315,92355,35.0,65152
70.0,A314,92350,79.8,56208
70.0,B315,92355,74.2,65152
71.0,A314,92350,27.8,56208
71.0,B315,92355,13.2,65152
72.0,A314,92350,35.4,56208
72.0,B315,92355,20.1,65152
73.0,A314,92350,35.7,56192
73.0,B315,92355,11.2,65152
74.0,A314,92350,67.1,56208
74.0,B315,92355,55.4,65472
75.0,A314,92350,33.9,56192
75.0,B315,92355,67.0,65472
76.0,A314,92350,76.1,56192
76.0,B315,92355,82.3,65472
77.0,A314,92350,58.5,56208
77.0,B315,92355,47.5,65472
78.0,A314,92350,79.6,56192
78.0,B315,92355,77.6,65472
80.0,A314,92350,12.4,56192
80.0,B315,92355,76.6,65472
81.0,A314,92350,68.5,56208
81.0,B315,92355,49.1,65472
82.0,A314,92350,26.7,56208
82.0,B315,92355,17.8,65472
83.0,A314,92350,38.9,56208
83.0,B315,92355,20.5,65472
84.0,A314,92350,0.0,56192
84.0,B315,92355,0.0,65472
85.0,A314,92350,31.3,56208
85.0,B315,92355,21.0,65472
86.0,A314,92350,53.4,56192
86.0,B315,92355,40.4,65472
87.0,A314,92350,75.6,56192
87.0,B315,92355,64.5,65472
88.0,A314,92350,33.8,56208
88.0,B315,92355,8.0,65472
89.0,A314,92350,65.7,56192
89.0,B315,92355,49.7,65472
90.0,A314,92350,69.7,56208
90.0,B315,92355,55.9,65472
