t_s,label,pid,pcpu,rss_kb
0.0,A314,92350,0.6,30608
0.0,B315,92355,0.4,31872
1.0,A314,92350,70.3,37904
1.0,B315,92355,69.1,42080
2.0,A314,92350,52.2,46576
2.0,B315,92355,51.3,53520
3.0,A314,92350,61.6,47776
3.0,B315,92355,62.7,55040
4.0,A314,92350,18.3,49440
4.0,B315,92355,6.3,56192
5.0,A314,92350,81.1,49664
5.0,B315,92355,68.7,57296
6.0,A314,92350,78.6,49824
6.0,B315,92355,0.4,57296
7.0,A314,92350,58.2,50176
7.0,B315,92355,47.5,57312
8.0,A314,92350,0.0,50224
8.0,B315,92355,42.4,57328
9.0,A314,92350,20.3,50288
9.0,B315,92355,44.0,57472
10.0,A314,92350,4.5,50304
10.0,B315,92355,56.8,57472
11.0,A314,92350,0.0,51456
11.0,B315,92355,49.5,57472
12.0,A314,92350,36.9,51520
12.0,B315,92355,15.9,57488
13.0,A314,92350,40.8,51520
13.0,B315,92355,56.8,57520
14.0,A314,92350,62.7,51536
14.0,B315,92355,13.8,58512
15.0,A314,92350,21.9,51536
15.0,B315,92355,37.7,58512
17.0,A314,92350,53.8,51536
17.0,B315,92355,59.5,58512
18.0,A314,92350,72.5,51536
18.0,B315,92355,50.0,58512
19.0,A314,92350,13.9,51552
19.0,B315,92355,75.0,58512
20.0,A314,92350,71.1,51584
20.0,B315,92355,81.7,58512
21.0,A314,92350,77.5,51648
21.0,B315,92355,71.0,58608
22.0,A314,92350,53.6,51664
22.0,B315,92355,33.3,58608
23.0,A314,92350,0.4,51664
23.0,B315,92355,0.1,58624
24.0,A314,92350,0.1,51648
24.0,B315,92355,0.0,59280
25.0,A314,92350,0.0,54064
25.0,B315,92355,0.0,59280
26.0,A314,92350,31.3,54304
26.0,B315,92355,43.7,59280
27.0,A314,92350,40.2,54304
27.0,B315,92355,44.4,59280
28.0,A314,92350,40.0,54304
28.0,B315,92355,51.3,59280
29.0,A314,92350,69.5,54448
29.0,B315,92355,0.6,59280
30.0,A314,92350,61.6,54448
30.0,B315,92355,70.5,59280
31.0,A314,92350,58.6,54448
