Dependency,Version Specifier,Python Version
bytecode,">=0.17.0,<1",python_version>='3.14.0'
bytecode,">=0.16.0,<1",python_version>='3.13.0'
bytecode,">=0.15.1,<1",python_version~='3.12.0'
bytecode,">=0.14.0,<1",python_version~='3.11.0'
bytecode,">=0.13.0,<1",python_version<'3.11'
ddtrace-internal @ file:///Users/emmett.butler/go/src/github.com/DataDog/dd-trace-py/pywheels/ddtrace_internal-0.0.0-py3-none-any.whl,,
envier,~=0.6.1,
opentelemetry-api,">=1,<2",
wrapt,">=1,<3",
opentracing,">=2,<3",
opentelemetry-exporter-otlp,">=1,<2",
